Country,Number of infections in 2023,Week number
Germany,21070,5
Germany,20474,6
Germany,20966,7
Germany,20877,8
Germany,21031,9
Germany,21928,10
Germany,21788,11
Germany,21334,12
Germany,20711,13
Germany,19923,14
Germany,20091,15
Germany,19826,16
Germany,19282,17
Germany,19012,18
Germany,18860,19
Germany,18349,20
Germany,18343,21
Germany,17949,22
Germany,18352,23
Germany,17791,24
Germany,18034,25
Germany,16982,26
Germany,17106,27
Germany,17682,28
Germany,16728,29
Germany,16879,30
Germany,16797,31
Germany,17383,32
Germany,18363,33
Germany,18063,34
Germany,16636,35
Germany,17978,36
Germany,17732,37
Germany,17182,38
Germany,17480,39
Germany,17999,40
Germany,18601,41
Germany,19330,42
Germany,19759,43
Germany,19735,44
Greece,3018,1
Greece,3080,2
Greece,2957,3
Greece,2847,4
Greece,2797,5
Greece,2858,6
Greece,2884,7
Greece,2742,8
Greece,2698,9
Greece,2525,10
Greece,2363,11
Greece,2428,12
Greece,2444,13
Greece,2274,14
Greece,2359,15
Greece,2365,16
Greece,2366,17
Greece,2371,18
Greece,2250,19
Greece,2230,20
Greece,2255,21
Greece,2207,22
Greece,2308,23
Greece,2083,24
Greece,2282,25
Greece,2154,26
Greece,2368,27
Greece,2425,28
Greece,2987,29
Greece,2957,30
Greece,2350,31
Greece,2125,32
Greece,2383,33
Greece,2613,34
Greece,2349,35
Greece,2160,36
Greece,2250,37
Greece,2269,38
Greece,2190,39
Greece,2116,40
Greece,2077,41
Greece,2240,42
Greece,2276,43
Greece,2193,44
Hungary,2798,1
Hungary,2650,2
Hungary,2647,3
Hungary,2494,4
Hungary,2674,5
Hungary,2695,6
Hungary,2854,7
Hungary,2834,8
Hungary,2714,9
Hungary,2758,10
Hungary,2771,11
Hungary,2711,12
Hungary,2591,13
Hungary,2462,14
Hungary,2512,15
Hungary,2433,16
Hungary,2319,17
Hungary,2365,18
Hungary,2230,19
Hungary,2311,20
Hungary,2275,21
Hungary,2199,22
Hungary,2190,23
Hungary,2169,24
Hungary,2323,25
Hungary,2074,26
Hungary,2146,27
Hungary,2383,28
Hungary,2214,29
Hungary,2142,30
Hungary,2001,31
Hungary,2030,32
Hungary,2371,33
Hungary,2443,34
Hungary,2138,35
Hungary,2172,36
Hungary,2236,37
Hungary,2164,38
Hungary,2099,39
Hungary,2316,40
Hungary,2514,41
Hungary,2461,42
Hungary,2533,43
Hungary,2411,44
Iceland,67,1
Iceland,55,2
Iceland,56,3
Iceland,62,4
Iceland,45,5
Iceland,60,6
Iceland,50,7
Iceland,48,8
Iceland,50,9
Iceland,43,10
Iceland,55,11
Iceland,39,12
Iceland,48,13
Iceland,41,14
Iceland,44,15
Iceland,34,16
Iceland,56,17
Iceland,35,18
Iceland,42,19
Iceland,50,20
Iceland,51,21
Iceland,41,22
Iceland,36,23
Iceland,49,24
Iceland,52,25
Iceland,54,26
Iceland,53,27
Iceland,39,28
Iceland,47,29
Iceland,51,30
Iceland,50,31
Iceland,44,32
Iceland,44,33
Iceland,38,34
Iceland,47,35
Iceland,63,36
Iceland,52,37
Iceland,41,38
Iceland,45,39
Iceland,49,40
Iceland,35,41
Iceland,28,42
Iceland,62,43
Iceland,57,44
Ireland,950,1
Ireland,917,2
Ireland,812,3
Ireland,758,4
Ireland,690,5
Ireland,711,6
Ireland,674,7
Ireland,662,8
Ireland,632,9
Ireland,752,10
Ireland,724,11
Ireland,675,12
Ireland,633,13
Ireland,672,14
Ireland,668,15
Ireland,648,16
Ireland,680,17
Ireland,646,18
Ireland,670,19
Ireland,630,20
Ireland,620,21
Ireland,629,22
Ireland,597,23
Ireland,664,24
Ireland,616,25
Ireland,586,26
Ireland,632,27
Ireland,602,28
Ireland,608,29
Ireland,587,30
Ireland,619,31
Ireland,602,32
Ireland,648,33
Ireland,665,34
Ireland,633,35
Ireland,630,36
Ireland,622,37
Ireland,627,38
Ireland,622,39
Ireland,699,40
Ireland,652,41
Ireland,722,42
Ireland,694,43
Ireland,651,44
Israel,1106,1
Israel,1045,2
Israel,1069,3
Israel,1131,4
Israel,1018,5
Israel,1054,6
Israel,1075,7
Israel,1055,8
Israel,1082,9
Israel,995,10
Israel,1012,11
Israel,1007,12
Israel,901,13
Israel,994,14
Israel,960,15
Israel,947,16
Israel,906,17
Israel,874,18
Israel,921,19
Israel,905,20
Israel,926,21
Israel,901,22
Israel,818,23
Israel,776,24
Israel,852,25
Israel,813,26
Israel,830,27
Israel,787,28
Israel,806,29
Israel,764,30
Israel,873,31
Israel,894,32
Israel,844,33
Israel,816,34
Israel,841,35
Israel,861,36
Israel,845,37
Israel,907,38
Israel,900,39
Israel,1941,40
Israel,931,41
Israel,945,42
Israel,941,43
Israel,876,44
Italy,15426,1
Italy,15063,2
Italy,14856,3
Italy,15010,4
Italy,14923,5
Italy,14872,6
Italy,15159,7
Italy,14200,8
Italy,13215,9
Italy,13486,10
Italy,12604,11
Italy,12460,12
Italy,12195,13
Italy,12167,14
Italy,12660,15
Italy,12613,16
Italy,12055,17
Italy,11640,18
Italy,11308,19
Italy,11052,20
Italy,11812,21
Italy,11073,22
Italy,10962,23
Italy,10757,24
Italy,11657,25
Italy,10873,26
Italy,11045,27
Italy,11891,28
Italy,13629,29
Italy,13273,30
Italy,11369,31
Italy,10815,32
Italy,11587,33
Italy,12851,34
Italy,10999,35
Italy,11197,36
Italy,11246,37
Italy,10984,38
Italy,11157,39
Italy,11330,40
Italy,11289,41
Italy,11356,42
Italy,11639,43
Italy,11416,44
Latvia,710,1
Latvia,740,2
Latvia,636,3
Latvia,591,4
Latvia,575,5
Latvia,566,6
Latvia,614,7
Latvia,615,8
Latvia,557,9
Latvia,534,10
Latvia,497,11
Latvia,563,12
Latvia,488,13
Latvia,506,14
Latvia,548,15
Latvia,589,16
Latvia,536,17
Latvia,513,18
Latvia,508,19
Latvia,509,20
Latvia,455,21
Latvia,489,22
Latvia,451,23
Latvia,513,24
Latvia,531,25
Latvia,490,26
Latvia,416,27
Latvia,427,28
Latvia,469,29
Latvia,428,30
Latvia,471,31
Latvia,475,32
Latvia,494,33
Latvia,445,34
Latvia,436,35
Latvia,449,36
Latvia,478,37
Latvia,472,38
Latvia,485,39
Latvia,485,40
Latvia,491,41
Latvia,556,42
Latvia,560,43
Latvia,569,44
Lithuania,993,1
Lithuania,914,2
Lithuania,814,3
Lithuania,846,4
Lithuania,757,5
Lithuania,701,6
Lithuania,555,7
Lithuania,760,8
Lithuania,746,9
Lithuania,781,10
Lithuania,746,11
Lithuania,758,12
Lithuania,682,13
Lithuania,703,14
Lithuania,739,15
Lithuania,715,16
Lithuania,682,17
Lithuania,700,18
Lithuania,782,19
Lithuania,703,20
Lithuania,707,21
Lithuania,678,22
Lithuania,664,23
Lithuania,724,24
Lithuania,699,25
Lithuania,619,26
Lithuania,665,27
Lithuania,635,28
Lithuania,655,29
Lithuania,683,30
Lithuania,634,31
Lithuania,628,32
Lithuania,696,33
Lithuania,666,34
Lithuania,633,35
Lithuania,633,36
Lithuania,691,37
Lithuania,676,38
Lithuania,693,39
Lithuania,640,40
Lithuania,708,41
Lithuania,712,42
Lithuania,774,43
Lithuania,793,44
Luxembourg,136,1
Luxembourg,103,2
Luxembourg,91,3
Luxembourg,94,4
Luxembourg,76,5
Luxembourg,95,6
Luxembourg,83,7
Luxembourg,82,8
Luxembourg,80,9
Luxembourg,87,10
Luxembourg,96,11
Luxembourg,76,12
Luxembourg,88,13
Luxembourg,91,14
Luxembourg,86,15
Luxembourg,94,16
Luxembourg,71,17
Luxembourg,100,18
Luxembourg,95,19
Luxembourg,80,20
Luxembourg,73,21
Luxembourg,74,22
Luxembourg,71,23
Luxembourg,74,24
Luxembourg,76,25
Luxembourg,67,26
Luxembourg,74,27
Luxembourg,61,28
Luxembourg,72,29
Luxembourg,84,30
Luxembourg,79,31
Luxembourg,70,32
Luxembourg,85,33
Luxembourg,80,34
Luxembourg,76,35
